barcode,variant_id,product_id,product_title,variant_title,sku,product_type,vendor,tags,price,unit_cost,inventory_quantity,status
887521154128,gid://shopify/ProductVariant/43778698707009,gid://shopify/Product/7883904155713,2026 Topps Disney Neon Hobby Box,Default Title,,Sealed Wax,Topps,"2026, Disney, hobby, Hobby box, Topps",199.99,100.0,0,ACTIVE
820650806810,gid://shopify/ProductVariant/43783411040321,gid://shopify/Product/7884999163969,Pokemon Rebel Clash Booster Pack,Default Title,,Booster Box,Pokemon,Pokemon,16.99,13.75,0,ACTIVE
887521154258,gid://shopify/ProductVariant/43789587284033,gid://shopify/Product/7887597666369,2026 Topps Finest Fantastic Four Hobby Box,Default Title,,Sealed Wax,Topps,"In-Stock, New, New Cards, Non-Sport Cards, Sealed Entertainment, Topps",274.99,229.0,2,ACTIVE
887521155415,gid://shopify/ProductVariant/43791492939841,gid://shopify/Product/7888081223745,2025-26 Bowman Basketball Hobby Box,Default Title,887521155415,Sealed Wax,Topps,"2025-26, Basketball, Bowman, New, Topps",499.99,575.0,0,ACTIVE
5053307076488,gid://shopify/ProductVariant/43791493005377,gid://shopify/Product/7888081289281,2025-26 Topps Finest English Premier League EPL Hobby Box,Default Title,5053307076488,Sealed Wax,Topps,"2025-26, Boxes, Hobby, Hobby Box, New, Soccer, Topps",569.95,,1,DRAFT
887521153916,gid://shopify/ProductVariant/43791493038145,gid://shopify/Product/7888081322049,2026 Topps Graphite Tennis Hobby Box,Default Title,887521153916,Sealed Wax,Topps,"2025-26, Boxes, Hobby, Hobby Box, In-Stock, New, Tennis, Topps",349.99,260.0,12,ACTIVE
746134193477,gid://shopify/ProductVariant/43791493070913,gid://shopify/Product/7888081354817,2025-26 Panini Select Serie A Soccer Hobby Box,Default Title,746134193477,Sealed Wax,Panini,"2025-26, Hobby, Hobby Box, New, Panini, Soccer",274.99,218.0,1,ACTIVE
746134178849,gid://shopify/ProductVariant/43791493136449,gid://shopify/Product/7888081420353,2025-26 Panini Prizm FIFA Soccer Hobby Box,Default Title,,Sealed Wax,Panini,"2025-26, Hobby, Hobby Box, In-Stock, New, Panini, Sealed Soccer, Soccer",499.99,190.0,12,ACTIVE
887521155538,gid://shopify/ProductVariant/43791493169217,gid://shopify/Product/7888081453121,2025-26 Bowman Basketball Blaster Box,Default Title,,Sealed Wax,Topps,"2025-26, Basketball, Bowman, In-Stock, New, Sealed Basketball, Topps",44.99,19.5,-13,ACTIVE
746134195617,gid://shopify/ProductVariant/43791493234753,gid://shopify/Product/7888081518657,2026 Panini Ring Royalty MLW Major League Wrestling Hobby Box,Default Title,746134195617,Sealed Wax,Panini,"2025-26, Combat, Hobby, Hobby Box, New, Panini",79.95,,1,DRAFT
887521152087,gid://shopify/ProductVariant/43791496380481,gid://shopify/Product/7888082108481,2026 Topps Chrome WWE Hobby Box,Default Title,15208,Sealed Wax,Topps,"2026, Box, Hobby, In-Stock, New Arrivals, Sealed Entertainment, Topps",374.99,335.0,4,ACTIVE
196214141506,gid://shopify/ProductVariant/43791499919425,gid://shopify/Product/7888082829377,Pokemon Ascended Heroes Booster Bundle,Default Title,,Booster Pack,Pokemon,"Booster Box, New, Pack, Pokemon",97.49,78.5,28,ACTIVE
053334044240,gid://shopify/ProductVariant/43791502508097,gid://shopify/Product/7888083550273,2025 Upper Deck Fleer Ultra Superman Hobby Box,Default Title,,Sealed Wax,Upper Deck,"Entertainment, Fleer, Hobby box, In-Stock, New, Sealed Entertainment, Upper Deck",179.99,145.0,2,ACTIVE
