product_id,variant_id,product_title,product_created_at,product_status,product_type,variant_title,sku,barcode,price,compare_at_price,cost,inventory_quantity,sold_7d,sold_30d,sold_60d
gid://shopify/Product/7813250252865,gid://shopify/ProductVariant/43605046984769,2026 Topps Series 1 Baseball Mega Box,,ACTIVE,Sealed Wax,Default Title,,887521154807,74.99,,64,-8,0,0,0
gid://shopify/Product/7815537360961,gid://shopify/ProductVariant/43611435008065,2025 Topps Pristine Baseball Hobby Box,,ACTIVE,Sealed Wax,Pack,,887521144587,94.99,,85,-3,0,0,0
gid://shopify/Product/7815537360961,gid://shopify/ProductVariant/43631481192513,2025 Topps Pristine Baseball Hobby Box,,ACTIVE,Sealed Wax,Box,,887521144594,579.99,,510,1,0,0,0
gid://shopify/Product/7820441092161,gid://shopify/ProductVariant/43615685705793,2025 Panini Select Football H2 Hobby Box,,ACTIVE,Sealed Wax,Default Title,,746134188657,249.99,,180,12,0,0,0
gid://shopify/Product/7820470648897,gid://shopify/ProductVariant/43615810945089,2018 Panini Prizm FIFA World Cup Soccer Fat Pack,,ACTIVE,Sealed Wax,Default Title,,613297915614,74.99,,66.59,9,0,0,0
gid://shopify/Product/7831068835905,gid://shopify/ProductVariant/43630109655105,2025-26 Topps Finest Basketball Hobby Box,,ACTIVE,Sealed Wax,Default Title,,887521153336,864.99,,781,1,0,0,0
gid://shopify/Product/7840604651585,gid://shopify/ProductVariant/43644362096705,Pokemon ME Ascended Heroes Booster Pack,,ACTIVE,Booster Pack,Default Title,,074427168230,16.99,,9.7,-47,0,0,0
gid://shopify/Product/7840606289985,gid://shopify/ProductVariant/43644366028865,Pokemon Obsidian Flames Booster Bundle,,ACTIVE,Booster Box,Default Title,,0820650853876,109.99,,66,0,0,0,0
gid://shopify/Product/7840619495489,gid://shopify/ProductVariant/43644423372865,2025 Topps Chrome MLS Hobby Box,,ACTIVE,Sealed Wax,Default Title,,08181072,214.99,,180,3,0,0,0
gid://shopify/Product/7841297498177,gid://shopify/ProductVariant/43646938808385,2019-20 Topps Finest UEFA Champions League Soccer Hobby Box,,ACTIVE,Sealed Wax,Default Title,,746134164156,699.99,,675,1,0,0,0
gid://shopify/Product/7841298776129,gid://shopify/ProductVariant/43646941954113,2021 Panini Select Football H2 Hobby Box,,ACTIVE,Sealed Wax,Default Title,,613297982487,224.99,,199.99,0,0,0,0
gid://shopify/Product/7841334460481,gid://shopify/ProductVariant/43647051202625,2025-26 Upper Deck Series 2 Hockey Hobby Box,,ACTIVE,Sealed Wax,Default Title,,17235694,199.99,,189,3,0,0,0
gid://shopify/Product/7841835712577,gid://shopify/ProductVariant/43648060129345,2026 Topps Heritage Baseball Hobby Box,,ACTIVE,Sealed Wax,Default Title,887521155187,887521155187,194.99,,152,9,0,0,0
gid://shopify/Product/7798804840513,gid://shopify/ProductVariant/43572175765569,2025-26 Topps Chrome Basketball Hanger Box (Copy),,ACTIVE,Sealed Wax,Default Title,,887521149841,49.99,,48,3,0,0,0
gid://shopify/Product/7801944506433,gid://shopify/ProductVariant/43577917079617,2026 Upper Deck Golf Hobby Box,,ACTIVE,Sealed Wax,Default Title,,053334437622,139.99,,118,-3,0,0,0
gid://shopify/Product/7801946079297,gid://shopify/ProductVariant/43577920847937,2026 Upper Deck Golf Blaster,,ACTIVE,Sealed Wax,Default Title,,053334437691,24.99,,18,17,0,0,0
gid://shopify/Product/7801946603585,gid://shopify/ProductVariant/43577921601601,2026 Upper Deck Golf Tin,,ACTIVE,Sealed Wax,Default Title,,053334437752,49.99,,36,10,0,0,0
gid://shopify/Product/7801948962881,gid://shopify/ProductVariant/43577928548417,2025 Panini National Treasures Football Hobby Box,,ACTIVE,Sealed Wax,Default Title,,746134189470,2199.99,,950,2,0,0,0
gid://shopify/Product/7801949257793,gid://shopify/ProductVariant/43577929334849,2025 Topps Star Wars Hyperspace Hobby Box,,ACTIVE,Sealed Wax,Default Title,,887521144419,264.99,,250,3,0,0,0
gid://shopify/Product/7802009649217,gid://shopify/ProductVariant/43578118144065,2018 Panini Prizm FIFA World Cup Soccer Fat Pack Box,,ACTIVE,Sealed Wax,Default Title,,75780479,899.99,,799,0,0,0,0
gid://shopify/Product/7802544160833,gid://shopify/ProductVariant/43581380853825,2021-22 Upper Deck Marvel Annual Hobby Box,,ACTIVE,Sealed Wax,Default Title,,05333498179,79.99,,60,6,0,0,0
gid://shopify/Product/7852333301825,gid://shopify/ProductVariant/43674792951873,Pokemon Destined Rivals Booster Unlimited,,ACTIVE,Booster Box,Default Title,,0196214123182,649.99,,618,0,0,0,0
gid://shopify/Product/7853732986945,gid://shopify/ProductVariant/43686971080769,2025 Topps Chrome McDonald's All-American Basketball Hobby Box Pack,,ACTIVE,Sealed Wax,Default Title,25TOBKMCD,887521148646,49.99,,47.5,3,0,0,0
gid://shopify/Product/7855423946817,gid://shopify/ProductVariant/43692528926785,2025 Topps Gilded Collection Baseball Hobby Box,,ACTIVE,Sealed Wax,Default Title,,887521144044,1249.99,,1045,1,0,0,0
gid://shopify/Product/7856335159361,gid://shopify/ProductVariant/43695434563649,Pokemon Silver Tempest Booster Bundle,,ACTIVE,Booster Box,Default Title,,820650851544,119.99,,74,2,0,0,0
gid://shopify/Product/7856335552577,gid://shopify/ProductVariant/43695436890177,2025 Topps Stranger Things Hobby Box,,ACTIVE,Sealed Wax,Default Title,,45631936,424.99,,375,2,0,0,0
gid://shopify/Product/7856731193409,gid://shopify/ProductVariant/43696619814977,Pokemon Paldea Evolved Booster Bundle,,ACTIVE,Booster Box,Default Title,,0820650853623,99.99,,90,0,0,0,0
gid://shopify/Product/7856733913153,gid://shopify/ProductVariant/43696629678145,2026 Topps Marvel Brooklyn Collection Captain America Hobby Box,,ACTIVE,Sealed Wax,Default Title,,887521154654,264.99,,235,1,0,0,0
